state,city,average_stars,business_count
AB,AB Edmonton,4.5,1
AB,Alberta Park Industrial,2.0,1
AB,Beaumont,4.0,10
AB,Downtown,3.5,1
AB,East Edmonton,3.0,1
AB,Eaux Claires,1.5,1
AB,EdMonton,3.5,2
AB,Edmonton,3.44,5054
AB,Edmonton City Centre,4.0,1
AB,Enoch,3.13,4
AB,Fort Saskatchewan,2.0,1
AB,NW Edmonton,3.0,1
AB,Old Strathcona,3.0,1
AB,Pilot Sound Area West Portion,1.5,1
AB,Saint Albert,3.95,22
AB,Sherwood,3.5,1
AB,Sherwood Park,3.5,297
AB,Southeast Edmonton,3.75,4
AB,Spruce Grove,4.0,1
AB,St Albert,3.39,93
