city,open_count,total_count,open_percentage
,,8031125,
Harleysville,168.0,196,85.71
Westampton,56.0,72,77.78
Merion Park,0.0,2,0.0
Bucks,10.0,16,62.5
Worcester,12.0,16,75.0
St.Pete Beach,2.0,2,100.0
AB Edmonton,2.0,2,100.0
MARLTON,2.0,2,100.0
TAMPA AP,2.0,2,100.0
Springfield,626.0,768,81.51
Pleasant View,74.0,88,84.09
Truckee,20.0,22,90.91
Frontenac,30.0,38,78.95
Marcus Hook,50.0,60,83.33
Metairie ,2.0,2,100.0
Foster Pond,2.0,2,100.0
"Sparks,",2.0,2,100.0
Pasco,2.0,4,50.0
King Of Prussia,242.0,268,90.3
