city,open_count,total_count,open_percentage
Philadelphia,10542,14569,72.36
Tucson,7533,9250,81.44
Tampa,7219,9050,79.77
Indianapolis,5894,7540,78.17
Nashville,5398,6971,77.44
New Orleans,4649,6209,74.88
Reno,4762,5935,80.24
Edmonton,3916,5054,77.48
Saint Louis,3403,4827,70.5
Santa Barbara,3020,3829,78.87
Boise,2461,2937,83.79
Clearwater,1815,2221,81.72
Saint Petersburg,1367,1663,82.2
Metairie,1336,1643,81.31
Sparks,1378,1624,84.85
Wilmington,1192,1446,82.43
Franklin,1135,1414,80.27
St. Louis,1054,1255,83.98
St. Petersburg,916,1185,77.3
Meridian,900,1043,86.29
